Logo,Nom,Secteur,Année de création,Label Date,Site web,Résumé,Founders,Courriel,Téléphone
undefined,EZZAYRA SOLUTIONS,Agritech,2015,Apr-19,,"Développement et intégration de produits technologiques destinés a l'agriculture. Software, Hardware et Robotique.",Yasser Bououd,n.a.,n.a.
undefined,OPTOSCOPIA Intelligent Diagnostic Analyzers,HealthTech,2023,May-24,,null,Marouen AKERMIFrancesc Gomez,n.a.,n.a.
undefined,SKANIT,FoodTech & New Food,2022,Apr-22,,SKANIT est une application web qui offre plusieurs services au gestionnaire de restaurant pour l'aider à bien gérer son établissement,Abdelkarim RahalNada Dkhil,contact@skanit.net,95606603
undefined,Finansya Ecosystem,Fintech,2017,May-22,,Finansya.com est une plateforme SaaS spécialisée dans le développement des solutions digitales pour les marchés financiers.,Achref sayadi,n.a.,n.a.
undefined,Qr Menu,FoodTech & New Food,2022,Jun-22,,"Qr menu est une solution saas de création de menus digitals dynamiques à partir duquel on peut passer des commandes.
 Tout ça avec un simple scan d’un Qr code.",Nour KraiemSirine Kraiem,n.a.,n.a.
undefined,Secret Sucré Kids,Ad Tech and Creative Tech,2022,Feb-22,,Secret sucré Kids permet aux enfants ainsi qu’aux parents de cuisiner ensemble autour d’une activité à la fois amusante et didactique.,Sana AbidMohamed Amine Mhiri,n.a.,n.a.
undefined,Soledu,EdTech,2021,Jun-22,,"Soledu est une startup qui propose principalement des formations en lignes conçues pour accompagner les parents et les professionnels de l’éducation à développer de nouvelles compétences de parentalités.
 
 Grace à notre plateforme en ligne, nos abonnées on accès à des vidéos thématiques pour acquérir de nouvelles compétences et apprendre des outils pratiques facilitant l’éducation des enfants et améliorent leurs relations avec ces derniers. Ces formations sont accompagnées par des séances de coaching de groupe pour consolider les connaissances.",Abdelaziz SIFAOUIMoahmmed Abu Sharekh,info@sol-edu.org,55109850
undefined,Chill&Lit,Commerce and shopping,2019,Nov-21,,Chill&Lit est une marketplace de mode qui offre aux marques et boutiques de mode une audience ciblée pour vendre leurs stocks en ligne.,Fares KottiMakrem Kotti,n.a.,n.a.
undefined,DataSense,Communication services,2021,Jan-22,,DataSense offre une plateforme de marketing qui met en collaboration les propriétaires des marques et les influenceurs de différents réseaux sociaux.,Charef Ahmed Anas Charfi,n.a.,n.a.
undefined,Imaginario AI,Ad Tech and Creative Tech,2023,Mar-25,,null,Jose PugaAbdelhak Loukkal,n.a.,n.a.
undefined,Mramma.tn,Real Estate Tech,2022,Jun-22,,"Mramma offre aux différents intervenant du secteur du btp une solution complète pour gagner en visibilité et piloter son activité publicité locale, site Internet, création de devis, gestion des demandes et projets, facturation, communication client et bien plus encore.",Akram BsilaMarwen Ben MzoughiaNizar Said,contact@mramma.tn,n.a.
undefined,Uvey,Fintech,2025,Sep-25,,null,Youssef MEDDEB,n.a.,n.a.
undefined,Trivaw,TravelTech,2021,Feb-22,,Trivaw est  une solution intelligente qui aide les voyageurs à organiser un voyage culturel personnalisé d’une façon autonome.,Houssem Eddine Ben SmidaAwatef Rebhi,n.a.,n.a.
undefined,Digibrain,Ad Tech and Creative Tech,2020,Dec-21,,"LIVESTORE est un Produit de l'agence Digibrain,  un service de streaming vidéo en direct et de vidéo à la demande destiné à la vente et à l’exposition en ligne des produits",Moalla HabibHabib BaabouraMoez Taïeb,contact@digibrainagency.com,21623049938
undefined,JuniorsCV,EdTech,2021,Aug-21,,JuniorsCV est un réseau professionnel pour étudiants et jeunes diplômés afin de les aider à s’insérer sur le marché de travail.,Samy JaidèneMayassa Fehaiem,n.a.,n.a.
undefined,SPOFUN,Wellness,2019,May-22,,SPOFUN.tn est une solution qui permet de réserver en temps réel les espaces de sport et de loisir tout en s'organisant entre les coéquipiers.,Mohamed Sadek SASSISamiha HamdiFarouk LARIBI,contact@spofun.tn,21693222222
undefined,SAFESPHERE,Advanced Manufacturing & Robotics,2024,May-24,,"SAFESPHERE est une start-up qui a pour but d’améliorer la sécurité dans les environnements industriels en développant des dispositifs novateurs capables de détecter et de prévenir les accidents du travail liés aux parties actives des machines.
 Nos dispositifs  sont conçus pour être intégrés directement aux machines industrielles, où ils surveillent en temps réel toute interaction entre les opérateurs et les parties actives de la machine et arrêtent automatiquement le fonctionnement de la machine pour éviter tout dommage potentiel aux opérateurs.
 De plus, le dispositif sera connecté à une plateforme web intelligente qui permettra la collecte et l'analyse des données sur la sécurité et les performances des machines. Les utilisateurs pourront ainsi surveiller l'état de leurs machines à distance, recevoir des alertes en cas de problème et analyser les tendances pour améliorer la sécurité et l'efficacité opérationnelle.",Maher FEKIHSamar OUNIMahdi Taghouti,samar.ouni@safesphere.net,98105827
undefined,Gark,Wellness,2021,Dec-21,,GARK est une plateforme dédiée aux amateurs qui reprend les bases des systèmes de Gaming et des compétitions émergées dans le mini-football et elle offre à ses utilisateurs une opportunité unique et vivre leur propre expérience professionnelle.,Haithem BesghaierAmine GongiMohamed Taha Jemmali,n.a.,n.a.
undefined,OCTOMIRO,Business Software and services,2024,Feb-24,,"Solution d'IA intégrée à un système ERP, fournissant une analyse en temps réel des
 conformité du produit, détection autonome des anomalies et comptage des objets basés sur la vision par ordinateur.",Montasser KhamassiNour El Houda ShiliMohieddine DrissiSlim Griri,contact@octomiro.ai,98137366
undefined,Optypro.net,Business Software and services,2024,Nov-24,,null,Oussama Meknassi,n.a.,n.a.
undefined,Legaltech,Fintech,2022,May-22,,"Legaltech.tn est une  plateforme de suivi des annonces judiciaires publiées au JORT et aux journaux et permet aux abonnés d'effectuer des recherches et créer des alertes en temps réel selon des critères spécifiques, tout abonné peut être  assisté en ligne par un professionnel en droit et recouvrement des créances.",Maher ChafiiAhmed BattikhMourad Chafiaa,n.a.,n.a.
undefined,EGAMarketplace,Commerce and shopping,2025,Nov-25,,null,Mourad BenyounesHichem Chouaibi,n.a.,n.a.
